Marka Kodu	Tip Kodu	Marka Adı	Tip Adı	2019	2018	2017	2016	2015	2014	2013	2012
144	1151	TOYOTA	AURIS TS 1.4 D-4D PREMIUM NAVI	0	0	1053324	1018593	952561	0	0	0
144	1093	TOYOTA	AURIS TS 1.6 ADVANCE MULTIDRIVE S	0	0	1038541	1000181	930011	864178	0	0
144	1150	TOYOTA	AURIS TS 1.6 PREMIUM MULTIDRIVE S NAVI	0	0	0	1058594	1005598	0	0	0
144	1134	TOYOTA	AVENSIS 1.6 D-4D ADVANCE	0	0	1053324	1032267	1017775	0	0	0
144	1137	TOYOTA	AVENSIS 1.6 D-4D PREMIUM PLUS NAVI	0	0	0	1053324	1018593	0	0	0
144	1139	TOYOTA	AVENSIS 2.0 D-4D PREMIUM PLUS NAVI	0	0	0	1091737	1053324	0	0	0
144	1143	TOYOTA	AVENSIS TS 1.6 D-4D PREMIUM	0	0	0	1031141	994253	0	0	0
144	1144	TOYOTA	AVENSIS TS 1.6 D-4D PREMIUM PLUS	0	0	0	1053324	1018580	0	0	0
144	1145	TOYOTA	AVENSIS TS 1.6 D-4D PREMIUM PLUS NAVI	0	0	0	1076930	1038541	0	0	0
144	1146	TOYOTA	AVENSIS TS 2.0 D-4D PREMIUM PLUS	0	0	0	1099828	1060701	0	0	0
144	1147	TOYOTA	AVENSIS TS 2.0 D-4D PREMIUM PLUS NAVI	0	0	0	1112387	1077663	0	0	0
34	1085	CITROEN	C4 1.2 PURETECH 130 CONFORT EAT6	0	0	0	0	704919	0	0	0
34	1086	CITROEN	C4 1.2 PURETECH 130 EXCLUSIVE EAT6	0	0	0	0	752016	0	0	0
34	1061	CITROEN	C4 1.4 VTI 95 EASY	0	0	0	0	564438	529093	0	0
34	1087	CITROEN	C4 1.6 BLUEHDI 120 CONFORT EAT6	0	0	857758	763943	728534	0	0	0
34	1088	CITROEN	C4 1.6 BLUEHDI 120 EXCLUSIVE EAT6	0	0	0	833043	794437	0	0	0
34	1062	CITROEN	C4 1.6 HDI 92 EASY	0	0	636116	601586	565312	529911	0	0
123	2138	RENAULT	CAPTUR ICON 1.2 TCE 120	0	1002678	952543	0	0	0	0	0
800	1038	KIA	CEED COMFORT 1.6 135	0	0	0	0	817518	710600	0	0
800	1039	KIA	CEED COMFORT 1.6 DIZEL 128	0	0	0	0	835846	726738	0	0
800	1041	KIA	CEED COMFORT 1.6 DIZEL 128 OV	0	0	0	0	0	762193	0	0
800	1065	KIA	CEED COMFORT 1.6 DIZEL 136	0	0	971253	859656	847080	0	0	0
800	1064	KIA	CEED COMFORT 1.6 DIZEL 136 DCT	0	0	988982	900945	877291	0	0	0
800	1040	KIA	CEED COMFORT 1.6 DIZEL OV	0	0	0	0	865014	754951	0	0
800	1067	KIA	CEED CONCEPT PLUS 1.6 DIZEL 136	0	0	1007397	918689	883193	0	0	0
